Player ID,Car,Total Points,Avg Rank,Wins,Finishes,Rank,Simulation Size,Mode
2,Car 02,144387,4.596916666666667,3226,7998,1,1000,Greedy
4,Car 04,130139,4.97375,2169,8054,2,1000,Greedy
9,Car 09,126580,4.866333333333333,576,10093,3,1000,Greedy
6,Car 06,124614,5.360166666666666,2216,8014,4,1000,Greedy
1,Car 01,102494,6.049666666666667,277,10430,5,1000,Greedy
8,Car 08,90721,6.25575,2028,6763,6,1000,Greedy
3,Car 03,88572,6.590333333333334,168,10441,7,1000,Greedy
7,Car 07,78991,6.5415833333333335,398,10081,8,1000,Greedy
5,Car 05,77886,7.090083333333333,287,10500,9,1000,Greedy
10,Car 10,60946,8.010083333333334,625,11423,10,1000,Greedy
11,Car 11,49723,8.72075,24,9260,11,1000,Greedy
12,Car 12,32424,8.944583333333334,6,10462,12,1000,Greedy
