Player ID,Car,Total Points,Avg Rank,Wins,Finishes,Rank,Simulation Size,Mode
2,Car 02,129,5.083333333333333,2,8,1,1,Greedy
9,Car 09,126,4.75,0,11,2,1,Greedy
6,Car 06,121,5.666666666666667,3,8,3,1,Greedy
1,Car 01,119,5.583333333333333,1,10,4,1,Greedy
8,Car 08,113,6.166666666666667,4,6,5,1,Greedy
5,Car 05,93,6.333333333333333,0,11,6,1,Greedy
3,Car 03,87,6.5,0,11,7,1,Greedy
4,Car 04,87,6.333333333333333,1,7,7,1,Greedy
7,Car 07,81,6.25,0,10,9,1,Greedy
11,Car 11,59,8.666666666666666,1,10,10,1,Greedy
10,Car 10,51,8.25,0,11,11,1,Greedy
12,Car 12,36,8.416666666666666,0,11,12,1,Greedy
2,Car 02,1466,4.475,36,80,1,10,Greedy
9,Car 09,1305,4.691666666666666,4,99,2,10,Greedy
6,Car 06,1255,5.325,24,79,3,10,Greedy
4,Car 04,1247,5.366666666666666,22,76,4,10,Greedy
1,Car 01,963,6.358333333333333,0,100,5,10,Greedy
3,Car 03,928,6.408333333333333,2,104,6,10,Greedy
8,Car 08,881,6.325,20,67,7,10,Greedy
5,Car 05,789,7.066666666666666,2,104,8,10,Greedy
7,Car 07,776,6.5,4,101,9,10,Greedy
10,Car 10,644,7.8,6,115,10,10,Greedy
11,Car 11,472,8.8,0,92,11,10,Greedy
12,Car 12,327,8.883333333333333,0,106,12,10,Greedy
2,Car 02,14192,4.6675,324,786,1,100,Greedy
4,Car 04,13041,5.039166666666667,232,796,2,100,Greedy
6,Car 06,12490,5.3275,223,798,3,100,Greedy
9,Car 09,12387,4.95,47,1001,4,100,Greedy
1,Car 01,10080,6.08,18,1052,5,100,Greedy
8,Car 08,9133,6.208333333333333,196,673,6,100,Greedy
3,Car 03,8925,6.565833333333333,12,1046,7,100,Greedy
7,Car 07,7984,6.484166666666667,38,1014,8,100,Greedy
5,Car 05,7956,7.0616666666666665,37,1047,9,100,Greedy
10,Car 10,6210,7.993333333333333,67,1142,10,100,Greedy
11,Car 11,4995,8.724166666666667,6,916,11,100,Greedy
12,Car 12,3327,8.898333333333333,0,1031,12,100,Greedy
2,Car 02,144387,4.596916666666667,3226,7998,1,1000,Greedy
4,Car 04,130139,4.97375,2169,8054,2,1000,Greedy
9,Car 09,126580,4.866333333333333,576,10093,3,1000,Greedy
6,Car 06,124614,5.360166666666666,2216,8014,4,1000,Greedy
1,Car 01,102494,6.049666666666667,277,10430,5,1000,Greedy
8,Car 08,90721,6.25575,2028,6763,6,1000,Greedy
3,Car 03,88572,6.590333333333334,168,10441,7,1000,Greedy
7,Car 07,78991,6.5415833333333335,398,10081,8,1000,Greedy
5,Car 05,77886,7.090083333333333,287,10500,9,1000,Greedy
10,Car 10,60946,8.010083333333334,625,11423,10,1000,Greedy
11,Car 11,49723,8.72075,24,9260,11,1000,Greedy
12,Car 12,32424,8.944583333333334,6,10462,12,1000,Greedy
3,Car 03,113,6.0,2,7,1,1,Random
9,Car 09,110,4.5,2,7,2,1,Random
2,Car 02,108,4.916666666666667,3,5,3,1,Random
6,Car 06,97,4.833333333333333,3,5,4,1,Random
10,Car 10,89,6.416666666666667,0,9,5,1,Random
1,Car 01,82,6.5,0,7,6,1,Random
5,Car 05,78,7.083333333333333,0,7,7,1,Random
4,Car 04,67,6.333333333333333,1,4,8,1,Random
11,Car 11,67,8.0,0,5,8,1,Random
7,Car 07,41,7.333333333333333,0,5,10,1,Random
12,Car 12,38,8.75,0,6,11,1,Random
8,Car 08,18,7.333333333333333,1,1,12,1,Random
3,Car 03,995,6.125,7,80,1,10,Random
4,Car 04,991,5.333333333333333,25,50,2,10,Random
1,Car 01,894,6.183333333333334,4,72,3,10,Random
9,Car 09,851,5.891666666666667,9,58,4,10,Random
5,Car 05,850,6.591666666666667,3,73,5,10,Random
6,Car 06,842,6.066666666666666,24,41,6,10,Random
10,Car 10,768,7.225,0,87,7,10,Random
2,Car 02,755,5.775,18,36,8,10,Random
7,Car 07,697,6.283333333333333,7,62,9,10,Random
11,Car 11,639,8.075,2,54,10,10,Random
12,Car 12,505,7.875,1,71,11,10,Random
8,Car 08,462,6.575,20,25,12,10,Random
1,Car 01,9682,6.110833333333333,94,754,1,100,Random
9,Car 09,9616,5.519166666666667,99,633,2,100,Random
3,Car 03,9408,6.309166666666667,70,770,3,100,Random
4,Car 04,8936,5.703333333333333,195,452,4,100,Random
2,Car 02,8843,5.62,222,430,5,100,Random
5,Car 05,8742,6.660833333333334,47,752,6,100,Random
6,Car 06,8230,6.2325,186,424,7,100,Random
10,Car 10,7875,7.131666666666667,23,879,8,100,Random
7,Car 07,7048,6.46,64,631,9,100,Random
11,Car 11,6658,7.989166666666667,20,598,10,100,Random
12,Car 12,5648,7.6225,12,779,11,100,Random
8,Car 08,4458,6.640833333333333,168,254,12,100,Random
1,Car 01,97916,6.110833333333333,830,7669,1,1000,Random
9,Car 09,94921,5.574333333333334,981,6285,2,1000,Random
3,Car 03,92909,6.348416666666667,608,7695,3,1000,Random
5,Car 05,89272,6.586416666666667,500,7610,4,1000,Random
2,Car 02,89183,5.601583333333333,2272,4319,5,1000,Random
4,Car 04,85287,5.881333333333333,1993,4280,6,1000,Random
6,Car 06,84352,6.087083333333333,1890,4348,7,1000,Random
10,Car 10,80688,7.043583333333333,234,8924,8,1000,Random
7,Car 07,72254,6.488083333333333,757,6404,9,1000,Random
11,Car 11,66976,7.92025,179,6091,10,1000,Random
12,Car 12,54390,7.710416666666666,120,7661,11,1000,Random
8,Car 08,44616,6.647666666666667,1636,2600,12,1000,Random
